               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
47,0.03585,0.009174,0.0035706,0.0485946,0.29611,0.59997,0.39454,0.12547,0.035546,0.0083682,0.0079454,0.00793,0.00793,0.00793
48,0.03564,0.0090983,0.003339,0.0480773,0.58189,0.59003,0.62129,0.25268,0.034099,0.0082113,0.0063875,0.007885,0.007885,0.007885
49,0.035252,0.009073,0.003061,0.047386,0.73221,0.39662,0.43688,0.1603,0.032937,0.0090957,0.010493,0.00784,0.00784,0.00784
50,0.035085,0.0090076,0.0031933,0.0472859,0.54847,0.35997,0.38633,0.12961,0.037427,0.0090598,0.0070224,0.007795,0.007795,0.007795
51,0.035313,0.0087512,0.0033289,0.0473931,0.84379,0.30833,0.37881,0.13868,0.034949,0.0089555,0.0047303,0.00775,0.00775,0.00775
52,0.036162,0.0088427,0.0031027,0.0481074,0.52247,0.54618,0.58571,0.23657,0.035094,0.0085409,0.0049496,0.007705,0.007705,0.007705
53,0.034878,0.0088952,0.0032264,0.0469996,0.65211,0.46021,0.55704,0.26185,0.038721,0.0081159,0.0060305,0.00766,0.00766,0.00766
54,0.034591,0.0089419,0.0029129,0.0464458,0.51885,0.76387,0.67615,0.28331,0.033244,0.0078941,0.0053334,0.007615,0.007615,0.007615
55,0.034116,0.0086737,0.0029049,0.0456946,0.83539,0.49414,0.61119,0.23114,0.033308,0.0080415,0.0031736,0.00757,0.00757,0.00757
56,0.034572,0.0084836,0.0027644,0.04582,0.65869,0.58735,0.61283,0.22487,0.033983,0.008614,0.004948,0.007525,0.007525,0.007525
57,0.033318,0.0089207,0.0031235,0.0453622,0.63621,0.56756,0.56091,0.18163,0.034761,0.0081406,0.0043523,0.00748,0.00748,0.00748
